ym,country,theme_code,n_docs
2022-01,CE,VANDALIZE,44
2022-01,CE,LITERACY,43
2022-01,CE,REL,43
2022-01,CE,MIL,43
2022-01,CE,VETO,41
2022-01,CE,HATE,40
2022-01,CE,JIHAD,39
2022-01,CE,UNSAFE,39
2022-01,CE,GENDER,38
2022-01,CE,STATE,36
2022-01,CE,LGBT,35
2022-01,CE,CHECKPOINT,35
2022-01,CE,INFRASTRUCTURE,35
2022-01,CE,ASSASSINATION,32
2022-01,CE,CRM,28
2022-01,CE,EMERG,27
2022-01,CE,MED,22
2022-01,CE,RAIL,21
2022-01,CE,LEGALIZE,21
2022-01,CE,FIREARM,21
2022-01,CE,POPULATION,21
2022-01,CE,WHISTLEBLOWER,20
2022-01,CE,IMPEACHMENT,19
2022-01,CE,PRIVATIZATION,17
2022-01,CE,DEFECTION,17
2022-01,CE,SLUMS,16
2022-01,CE,RETIREMENTS,15
2022-01,CE,EXHUMATION,13
2022-01,CE,LANDMINE,13
2022-01,CE,INCOME,9
2022-01,CE,ROAD,8
2022-01,CE,SICKENED,8
2022-01,CE,LEG,8
2022-01,CE,CLAIM,6
2022-01,CE,LOCUSTS,5
2022-01,CE,GENTRIFICATION,4
2022-01,CE,PIPELINE,3
2022-01,CE,CHARASMATIC,3
2022-02,CE,TAX,12869
2022-02,CE,WB,10848
2022-02,CE,EPU,9610
2022-02,CE,CRISISLEX,8428
2022-02,CE,UNGP,7939
2022-02,CE,GENERAL,7655
2022-02,CE,USPEC,6773
2022-02,CE,SOC,5626
2022-02,CE,LEADER,4655
2022-02,CE,ECON,4307
2022-02,CE,MEDIA,3799
2022-02,CE,MANMADE,3563
2022-02,CE,MEDICAL,3297
2022-02,CE,EDUCATION,3150
2022-02,CE,ARMEDCONFLICT,2498
2022-02,CE,ENV,2373
2022-02,CE,KILL,2362
2022-02,CE,HEALTH,2345
2022-02,CE,LEGISLATION,2151
2022-02,CE,SCIENCE,1765
2022-02,CE,MARITIME,1698
2022-02,CE,AFFECT,1619
2022-02,CE,MILITARY,1480
2022-02,CE,SECURITY,1471
2022-02,CE,ARREST,1407
2022-02,CE,TOURISM,1381
2022-02,CE,UNREST,1216
2022-02,CE,TERROR,1090
2022-02,CE,RELIGION,1074
2022-02,CE,SELF,1065
2022-02,CE,NATURAL,1041
2022-02,CE,AGRICULTURE,999
2022-02,CE,TRIAL,981
2022-02,CE,DELAY,936
2022-02,CE,MOVEMENT,914
2022-02,CE,SHORTAGE,827
2022-02,CE,PROTEST,810
2022-02,CE,BORDER,768
2022-02,CE,ELECTION,761
2022-02,CE,IDEOLOGY,756
2022-02,CE,CONSTITUTIONAL,753
2022-02,CE,BAN,730
2022-02,CE,SLFID,701
2022-02,CE,WOUND,684
2022-02,CE,SANCTIONS,672
2022-02,CE,APPOINTMENT,601
2022-02,CE,DEMOCRACY,586
2022-02,CE,NEGOTIATIONS,545
2022-02,CE,RURAL,539
2022-02,CE,SOVEREIGNTY,502
2022-02,CE,ALLIANCE,478
2022-02,CE,PUBLIC,471
2022-02,CE,GEN,447
2022-02,CE,CORRUPTION,432
2022-02,CE,TRANSPARENCY,427
2022-02,CE,URBAN,397
2022-02,CE,EXTREMISM,395
2022-02,CE,KIDNAP,380
2022-02,CE,SEIZE,373
2022-02,CE,REBELLION,361
2022-02,CE,FOOD,361
2022-02,CE,POVERTY,360
2022-02,CE,DISCRIMINATION,353
2022-02,CE,DEATH,341
2022-02,CE,HUMAN,328
2022-02,CE,GOV,288
2022-02,CE,WATER,274
2022-02,CE,ACT,273
2022-02,CE,REFUGEES,270
2022-02,CE,CRIME,267
2022-02,CE,EVACUATION,243
2022-02,CE,SEIGE,226
2022-02,CE,IMMIGRATION,224
2022-02,CE,RECRUITMENT,222
2022-02,CE,RETIREMENT,221
2022-02,CE,TRAFFIC,203
2022-02,CE,BLOCKADE,188
2022-02,CE,DRUG,186
2022-02,CE,PROPAGANDA,184
2022-02,CE,DISABILITY,180
2022-02,CE,TORTURE,173
2022-02,CE,FUELPRICES,173
2022-02,CE,ETH,168
2022-02,CE,HARASSMENT,164
2022-02,CE,DISASTER,160
2022-02,CE,UNEMPLOYMENT,153
2022-02,CE,ROAD,147
2022-02,CE,CEASEFIRE,145
2022-02,CE,RESIGNATION,144
2022-02,CE,DRONES,143
2022-02,CE,REBELS,139
2022-02,CE,POWER,138
2022-02,CE,INFO,127
2022-02,CE,SURVEILLANCE,124
2022-02,CE,VANDALIZE,123
2022-02,CE,AID,123
2022-02,CE,NEW,122
2022-02,CE,POLITICAL,121
2022-02,CE,STRIKE,121
2022-02,CE,RETALIATE,118
2022-02,CE,SUICIDE,112
2022-02,CE,CYBER,110
2022-02,CE,RELATIONS,107
2022-02,CE,JUSTICE,107
2022-02,CE,CONFISCATION,106
2022-02,CE,DISPLACED,103
2022-02,CE,SMUGGLING,101
2022-02,CE,PERSECUTION,100
2022-02,CE,TECH,100
2022-02,CE,ORGANIZED,99
2022-02,CE,AUSTERITY,97
2022-02,CE,WMD,88
2022-02,CE,TAKE,85
2022-02,CE,SANITATION,85
2022-02,CE,INEQUALITY,84
2022-02,CE,SEPARATISTS,80
2022-02,CE,RAPE,80
2022-02,CE,VIOLENT,80
2022-02,CE,INSURGENCY,80
2022-02,CE,VETO,78
2022-02,CE,RELEASE,74
2022-02,CE,FREESPEECH,72
2022-02,CE,PEACEKEEPING,70
2022-02,CE,SCANDAL,70
2022-02,CE,PROPERTY,62
2022-02,CE,BULLYING,62
2022-02,CE,AVIATION,61
2022-02,CE,CLOSURE,58
2022-02,CE,LITERACY,57
2022-02,CE,RATIFY,56
2022-02,CE,GRIEVANCES,55
2022-02,CE,UNSAFE,51
2022-02,CE,CLAIM,46
2022-02,CE,MIL,46
2022-02,CE,EXILE,43
2022-02,CE,BLACK,42
2022-02,CE,GENDER,42
2022-02,CE,PIRACY,39
2022-02,CE,LEGALIZE,39
2022-02,CE,LGBT,37
2022-02,CE,CHECKPOINT,33
2022-02,CE,CURFEW,32
2022-02,CE,JIHAD,32
2022-02,CE,INCOME,31
2022-02,CE,TREASON,29
2022-02,CE,PRIVATIZATION,28
2022-02,CE,REL,28
2022-02,CE,LANDMINE,26
2022-02,CE,STATE,26
2022-02,CE,POPULATION,26
2022-02,CE,EMERG,21
2022-02,CE,RETIREMENTS,20
2022-02,CE,RAIL,19
2022-02,CE,ASSASSINATION,17
2022-02,CE,EXHUMATION,16
2022-02,CE,HATE,16
2022-02,CE,IMPEACHMENT,14
2022-02,CE,WHISTLEBLOWER,12
2022-02,CE,SICKENED,12
2022-02,CE,CRM,12
2022-02,CE,MED,8
2022-02,CE,LEG,7
2022-02,CE,SLUMS,7
2022-02,CE,DEFECTION,7
2022-02,CE,INFRASTRUCTURE,6
2022-02,CE,GENTRIFICATION,5
2022-02,CE,CHARASMATIC,4
2022-02,CE,LOCUSTS,3
2022-02,CE,INTERNET,3
2022-02,CE,FIREARM,2
2022-03,CE,TAX,17326
2022-03,CE,WB,14759
2022-03,CE,EPU,13487
2022-03,CE,CRISISLEX,12033
2022-03,CE,GENERAL,10888
2022-03,CE,UNGP,10881
2022-03,CE,USPEC,9918
2022-03,CE,SOC,7462
2022-03,CE,ECON,7340
2022-03,CE,LEADER,6612
2022-03,CE,MEDIA,5055
2022-03,CE,MANMADE,5044
2022-03,CE,MEDICAL,4987
2022-03,CE,EDUCATION,4638
2022-03,CE,ARMEDCONFLICT,3903
2022-03,CE,ENV,3665
2022-03,CE,HEALTH,3001
2022-03,CE,KILL,2697
2022-03,CE,AFFECT,2531
2022-03,CE,SCIENCE,2520
2022-03,CE,MARITIME,2477
2022-03,CE,SHORTAGE,2453
2022-03,CE,LEGISLATION,2333
2022-03,CE,TOURISM,2156
2022-03,CE,MILITARY,2039
2022-03,CE,AGRICULTURE,1591
2022-03,CE,DELAY,1588
2022-03,CE,SECURITY,1505
2022-03,CE,NATURAL,1488
2022-03,CE,SELF,1346
2022-03,CE,SLFID,1275
2022-03,CE,IDEOLOGY,1274
2022-03,CE,MOVEMENT,1219
2022-03,CE,TERROR,1211
2022-03,CE,PROTEST,1198
2022-03,CE,BAN,1166
2022-03,CE,UNREST,1103
2022-03,CE,BORDER,1074
2022-03,CE,SANCTIONS,1074
2022-03,CE,DEMOCRACY,1056
2022-03,CE,ARREST,1042
2022-03,CE,ELECTION,988
2022-03,CE,PUBLIC,909
2022-03,CE,TRIAL,905
2022-03,CE,FOOD,878
2022-03,CE,NEGOTIATIONS,869
2022-03,CE,CONSTITUTIONAL,789
2022-03,CE,REFUGEES,737
2022-03,CE,APPOINTMENT,728
2022-03,CE,RELIGION,725
2022-03,CE,POVERTY,713
2022-03,CE,REBELLION,648
2022-03,CE,TRANSPARENCY,624
2022-03,CE,ALLIANCE,616
2022-03,CE,DISCRIMINATION,603
2022-03,CE,FUELPRICES,592
2022-03,CE,SOVEREIGNTY,557
2022-03,CE,URBAN,556
2022-03,CE,CORRUPTION,550
2022-03,CE,RURAL,484
2022-03,CE,AID,474
2022-03,CE,GOV,456
2022-03,CE,WOUND,445
2022-03,CE,EVACUATION,442
2022-03,CE,EXTREMISM,402
2022-03,CE,GEN,392
2022-03,CE,SEIGE,387
2022-03,CE,HUMAN,354
2022-03,CE,SEIZE,344
2022-03,CE,RESIGNATION,338
2022-03,CE,WATER,320
2022-03,CE,RECRUITMENT,318
2022-03,CE,CEASEFIRE,317
2022-03,CE,BLOCKADE,317
2022-03,CE,RETIREMENT,316
2022-03,CE,TRAFFIC,302
2022-03,CE,DISABILITY,293
2022-03,CE,CRIME,290
2022-03,CE,DISASTER,287
2022-03,CE,IMMIGRATION,281
2022-03,CE,VIOLENT,270
2022-03,CE,POWER,269
2022-03,CE,UNEMPLOYMENT,245
2022-03,CE,DRUG,240
2022-03,CE,NEW,238
2022-03,CE,VETO,235
2022-03,CE,WMD,231
2022-03,CE,POLITICAL,227
2022-03,CE,INFO,220
2022-03,CE,CYBER,198
2022-03,CE,RELATIONS,196
2022-03,CE,HARASSMENT,195
2022-03,CE,SURVEILLANCE,193
2022-03,CE,PROPAGANDA,191
2022-03,CE,TORTURE,189
2022-03,CE,RAPE,187
2022-03,CE,TECH,187
2022-03,CE,DRONES,187
2022-03,CE,RATIFY,184
2022-03,CE,ETH,170
2022-03,CE,RETALIATE,168
2022-03,CE,CONFISCATION,159
2022-03,CE,ACT,154
2022-03,CE,GRIEVANCES,151
2022-03,CE,DISPLACED,147
2022-03,CE,KIDNAP,140
2022-03,CE,ORGANIZED,138
2022-03,CE,SANITATION,135
2022-03,CE,STRIKE,131
2022-03,CE,SEPARATISTS,126
2022-03,CE,SMUGGLING,125
2022-03,CE,TAKE,123
2022-03,CE,JUSTICE,117
2022-03,CE,GENDER,115
2022-03,CE,MIL,111
2022-03,CE,DEATH,108
2022-03,CE,PERSECUTION,104
2022-03,CE,LGBT,101
2022-03,CE,PIRACY,101
2022-03,CE,REBELS,95
2022-03,CE,PROPERTY,93
2022-03,CE,CHECKPOINT,89
2022-03,CE,CLOSURE,89
2022-03,CE,LITERACY,79
2022-03,CE,UNSAFE,78
2022-03,CE,AUSTERITY,78
2022-03,CE,PEACEKEEPING,77
2022-03,CE,STATE,76
2022-03,CE,RELEASE,75
2022-03,CE,INEQUALITY,73
2022-03,CE,EXILE,72
2022-03,CE,SCANDAL,70
2022-03,CE,BLACK,66
2022-03,CE,SUICIDE,59
2022-03,CE,AVIATION,58
2022-03,CE,VANDALIZE,57
2022-03,CE,BULLYING,56
2022-03,CE,FREESPEECH,55
2022-03,CE,LEGALIZE,48
2022-03,CE,PRIVATIZATION,48
2022-03,CE,EMERG,44
2022-03,CE,INSURGENCY,43
2022-03,CE,CURFEW,43
2022-03,CE,TREASON,38
2022-03,CE,INFRASTRUCTURE,38
2022-03,CE,ASSASSINATION,31
2022-03,CE,JIHAD,25
2022-03,CE,DEFECTION,23
2022-03,CE,RAIL,21
2022-03,CE,REL,21
2022-03,CE,HATE,19
2022-03,CE,POPULATION,19
2022-03,CE,LEG,17
2022-03,CE,RETIREMENTS,16
2022-03,CE,IMPEACHMENT,15
2022-03,CE,SLUMS,13
2022-03,CE,MED,13
2022-03,CE,CRM,10
2022-03,CE,ROAD,10
2022-03,CE,WHISTLEBLOWER,8
2022-03,CE,INTERNET,6
2022-03,CE,LANDMINE,6
2022-03,CE,CLAIM,6
2022-03,CE,INCOME,5
2022-03,CE,EXHUMATION,5
2022-03,CE,SICKENED,4
2022-03,CE,LOCUSTS,2
2022-03,CE,FIREARM,1
2022-03,CE,PIPELINE,1
2022-03,CE,CHARASMATIC,1
2022-04,CE,TAX,26488
2022-04,CE,WB,23305
2022-04,CE,EPU,23292
2022-04,CE,CRISISLEX,21357
2022-04,CE,GENERAL,20050
2022-04,CE,USPEC,19757
2022-04,CE,ECON,17427
2022-04,CE,UNGP,16623
2022-04,CE,LEADER,16226
2022-04,CE,SOC,10251
2022-04,CE,SHORTAGE,9123
2022-04,CE,PROTEST,7910
2022-04,CE,MEDIA,7798
2022-04,CE,MEDICAL,7712
2022-04,CE,ARMEDCONFLICT,7317
2022-04,CE,MANMADE,7266
2022-04,CE,HEALTH,6934
2022-04,CE,RESIGNATION,6254
2022-04,CE,EDUCATION,6099
2022-04,CE,ENV,5077
2022-04,CE,SECURITY,4945
2022-04,CE,TOURISM,4682
2022-04,CE,AFFECT,4291
2022-04,CE,KILL,4172
2022-04,CE,POLITICAL,3813
2022-04,CE,LEGISLATION,3627
2022-04,CE,FOOD,3078
2022-04,CE,MILITARY,3007
2022-04,CE,APPOINTMENT,2843
2022-04,CE,REBELLION,2742
2022-04,CE,AGRICULTURE,2729
2022-04,CE,ELECTION,2723
2022-04,CE,CURFEW,2676
2022-04,CE,ARREST,2654
2022-04,CE,BAN,2635
2022-04,CE,ALLIANCE,2575
2022-04,CE,MARITIME,2550
2022-04,CE,SCIENCE,2419
2022-04,CE,SELF,2355
2022-04,CE,CONSTITUTIONAL,2265
2022-04,CE,STATE,2257
2022-04,CE,DELAY,2228
2022-04,CE,NATURAL,2161
2022-04,CE,TERROR,2100
2022-04,CE,VIOLENT,2092
2022-04,CE,DEMOCRACY,2023
2022-04,CE,CORRUPTION,2019
2022-04,CE,WOUND,1987
2022-04,CE,NEGOTIATIONS,1934
2022-04,CE,SLFID,1906
2022-04,CE,TRIAL,1889
2022-04,CE,FUELPRICES,1815
2022-04,CE,UNREST,1805
2022-04,CE,MOVEMENT,1779
2022-04,CE,PUBLIC,1604
2022-04,CE,SANCTIONS,1463
2022-04,CE,IDEOLOGY,1287
2022-04,CE,RELIGION,1201
2022-04,CE,POVERTY,1129
2022-04,CE,EXTREMISM,1127
2022-04,CE,POWER,1107
2022-04,CE,TAKE,967
2022-04,CE,BORDER,932
2022-04,CE,GEN,928
2022-04,CE,AID,834
2022-04,CE,TRANSPARENCY,753
2022-04,CE,CRIME,746
2022-04,CE,RURAL,714
2022-04,CE,URBAN,706
2022-04,CE,DISCRIMINATION,696
2022-04,CE,SEIGE,695
2022-04,CE,DRUG,651
2022-04,CE,REFUGEES,633
2022-04,CE,GOV,620
2022-04,CE,WATER,590
2022-04,CE,STRIKE,555
2022-04,CE,HUMAN,554
2022-04,CE,TRAFFIC,543
2022-04,CE,SOVEREIGNTY,533
2022-04,CE,DISASTER,518
2022-04,CE,BLOCKADE,464
2022-04,CE,UNEMPLOYMENT,436
2022-04,CE,RETIREMENT,431
2022-04,CE,GRIEVANCES,416
2022-04,CE,ACT,394
2022-04,CE,REBELS,381
2022-04,CE,IMMIGRATION,370
2022-04,CE,SEIZE,369
2022-04,CE,INFO,361
2022-04,CE,EVACUATION,354
2022-04,CE,SUICIDE,341
2022-04,CE,RATIFY,332
2022-04,CE,DEFECTION,304
2022-04,CE,TORTURE,297
2022-04,CE,DISABILITY,289
2022-04,CE,RECRUITMENT,283
2022-04,CE,AUSTERITY,275
2022-04,CE,CLOSURE,252
2022-04,CE,ETH,244
2022-04,CE,ORGANIZED,232
2022-04,CE,JUSTICE,232
2022-04,CE,FREESPEECH,231
2022-04,CE,RETALIATE,226
2022-04,CE,PROPAGANDA,224
2022-04,CE,IMPEACHMENT,223
2022-04,CE,KIDNAP,216
2022-04,CE,CEASEFIRE,212
2022-04,CE,VANDALIZE,205
2022-04,CE,SMUGGLING,202
2022-04,CE,DEATH,196
2022-04,CE,NEW,192
2022-04,CE,SURVEILLANCE,188
2022-04,CE,WMD,186
2022-04,CE,RAPE,181
2022-04,CE,TECH,174
2022-04,CE,DISPLACED,173
2022-04,CE,SANITATION,168
2022-04,CE,PERSECUTION,160
2022-04,CE,CYBER,158
2022-04,CE,LEG,157
2022-04,CE,DRONES,156
2022-04,CE,SEPARATISTS,155
2022-04,CE,VETO,152
2022-04,CE,INTERNET,146
2022-04,CE,RELATIONS,145
2022-04,CE,INEQUALITY,136
2022-04,CE,CHECKPOINT,136
2022-04,CE,SCANDAL,130
2022-04,CE,RELEASE,118
2022-04,CE,HARASSMENT,118
2022-04,CE,CONFISCATION,117
2022-04,CE,EXILE,113
2022-04,CE,LITERACY,105
2022-04,CE,MIL,105
2022-04,CE,INFRASTRUCTURE,101
2022-04,CE,PRIVATIZATION,92
2022-04,CE,TREASON,91
2022-04,CE,LGBT,87
2022-04,CE,INSURGENCY,86
2022-04,CE,PROPERTY,86
2022-04,CE,BLACK,79
2022-04,CE,BULLYING,77
2022-04,CE,PIRACY,73
2022-04,CE,UNSAFE,72
2022-04,CE,CRM,67
2022-04,CE,GENDER,67
2022-04,CE,ASSASSINATION,65
2022-04,CE,REL,56
2022-04,CE,PEACEKEEPING,53
2022-04,CE,EXHUMATION,46
2022-04,CE,LEGALIZE,42
2022-04,CE,HATE,41
2022-04,CE,LANDMINE,41
2022-04,CE,POPULATION,39
2022-04,CE,EMERG,37
2022-04,CE,RAIL,33
2022-04,CE,JIHAD,29
2022-04,CE,ROAD,26
2022-04,CE,WHISTLEBLOWER,26
2022-04,CE,RETIREMENTS,26
2022-04,CE,MED,20
2022-04,CE,CLAIM,19
2022-04,CE,SLUMS,18
2022-04,CE,AVIATION,13
2022-04,CE,UNGOVERNED,9
2022-04,CE,SICKENED,8
2022-04,CE,FIREARM,7
2022-04,CE,PIPELINE,6
2022-04,CE,CHARASMATIC,6
2022-04,CE,INCOME,4
2022-04,CE,GENTRIFICATION,2
2022-04,CE,LOCUSTS,1
2022-05,CE,TAX,27073
2022-05,CE,WB,23674
2022-05,CE,EPU,23311
2022-05,CE,CRISISLEX,21533
2022-05,CE,GENERAL,19898
2022-05,CE,USPEC,19502
2022-05,CE,UNGP,18196
2022-05,CE,ECON,16469
2022-05,CE,LEADER,16400
2022-05,CE,SOC,10522
2022-05,CE,MEDIA,8628
2022-05,CE,ARMEDCONFLICT,8533
2022-05,CE,PROTEST,8448
2022-05,CE,SHORTAGE,8377
2022-05,CE,MANMADE,7980
2022-05,CE,MEDICAL,7776
2022-05,CE,RESIGNATION,7578
2022-05,CE,KILL,6464
2022-05,CE,EDUCATION,6242
2022-05,CE,SECURITY,5907
2022-05,CE,ENV,5642
2022-05,CE,HEALTH,5516
2022-05,CE,WOUND,4248
2022-05,CE,AFFECT,4164
2022-05,CE,REBELLION,4142
2022-05,CE,APPOINTMENT,3873
2022-05,CE,POLITICAL,3721
2022-05,CE,LEGISLATION,3711
2022-05,CE,FOOD,3531
2022-05,CE,MILITARY,3522
2022-05,CE,MARITIME,3482
2022-05,CE,ELECTION,3428
2022-05,CE,TOURISM,3226
2022-05,CE,AGRICULTURE,3148
2022-05,CE,VIOLENT,3122
2022-05,CE,CURFEW,3074
2022-05,CE,BAN,2960
2022-05,CE,SCIENCE,2883
2022-05,CE,CONSTITUTIONAL,2567
2022-05,CE,NATURAL,2428
2022-05,CE,ARREST,2422
2022-05,CE,SELF,2295
2022-05,CE,CORRUPTION,2287
2022-05,CE,DELAY,2241
2022-05,CE,NEGOTIATIONS,2131
2022-05,CE,ALLIANCE,2093
2022-05,CE,MOVEMENT,2059
2022-05,CE,TRIAL,2031
2022-05,CE,DEMOCRACY,2021
2022-05,CE,SLFID,1909
2022-05,CE,UNREST,1888
2022-05,CE,PUBLIC,1716
2022-05,CE,STATE,1707
2022-05,CE,TERROR,1646
2022-05,CE,RELIGION,1610
2022-05,CE,IDEOLOGY,1530
2022-05,CE,SANCTIONS,1231
2022-05,CE,DISASTER,1167
2022-05,CE,FUELPRICES,1132
2022-05,CE,BORDER,1124
2022-05,CE,TAKE,1010
2022-05,CE,CRIME,998
2022-05,CE,RURAL,991
2022-05,CE,POVERTY,945
2022-05,CE,REFUGEES,940
2022-05,CE,URBAN,926
2022-05,CE,TRANSPARENCY,883
2022-05,CE,EXTREMISM,799
2022-05,CE,SEIGE,784
2022-05,CE,DISCRIMINATION,711
2022-05,CE,STRIKE,686
2022-05,CE,AID,671
2022-05,CE,GEN,670
2022-05,CE,RETALIATE,638
2022-05,CE,GOV,619
2022-05,CE,EVACUATION,593
2022-05,CE,WATER,584
2022-05,CE,CRM,571
2022-05,CE,DRUG,552
2022-05,CE,HUMAN,544
2022-05,CE,SOVEREIGNTY,537
2022-05,CE,UNEMPLOYMENT,507
2022-05,CE,IMMIGRATION,496
2022-05,CE,BLOCKADE,496
2022-05,CE,SEIZE,450
2022-05,CE,INFO,448
2022-05,CE,VANDALIZE,437
2022-05,CE,POWER,435
2022-05,CE,SMUGGLING,408
2022-05,CE,DISABILITY,395
2022-05,CE,TRAFFIC,392
2022-05,CE,REBELS,370
2022-05,CE,RETIREMENT,359
2022-05,CE,SANITATION,346
2022-05,CE,LEG,336
2022-05,CE,GRIEVANCES,316
2022-05,CE,RECRUITMENT,314
2022-05,CE,SUICIDE,311
2022-05,CE,ACT,305
2022-05,CE,KIDNAP,263
2022-05,CE,TORTURE,261
2022-05,CE,NEW,260
2022-05,CE,ETH,259
2022-05,CE,DEFECTION,245
2022-05,CE,SEPARATISTS,244
2022-05,CE,PRIVATIZATION,234
2022-05,CE,HARASSMENT,233
2022-05,CE,FREESPEECH,230
2022-05,CE,RATIFY,228
2022-05,CE,SCANDAL,227
2022-05,CE,PROPAGANDA,227
2022-05,CE,AUSTERITY,225
2022-05,CE,CHECKPOINT,216
2022-05,CE,INEQUALITY,203
2022-05,CE,IMPEACHMENT,196
2022-05,CE,CYBER,194
2022-05,CE,ORGANIZED,193
2022-05,CE,EXILE,186
2022-05,CE,TECH,183
2022-05,CE,RAPE,177
2022-05,CE,DEATH,175
2022-05,CE,JUSTICE,173
2022-05,CE,WMD,170
2022-05,CE,DISPLACED,169
2022-05,CE,RELATIONS,156
2022-05,CE,PEACEKEEPING,155
2022-05,CE,DRONES,152
2022-05,CE,ROAD,152
2022-05,CE,PERSECUTION,144
2022-05,CE,TREASON,142
2022-05,CE,VETO,142
2022-05,CE,SURVEILLANCE,138
2022-05,CE,CONFISCATION,134
2022-05,CE,CEASEFIRE,129
2022-05,CE,RELEASE,113
2022-05,CE,CLOSURE,107
2022-05,CE,LITERACY,102
2022-05,CE,ASSASSINATION,91
2022-05,CE,INSURGENCY,91
2022-05,CE,MIL,88
2022-05,CE,PIRACY,87
2022-05,CE,LGBT,85
2022-05,CE,BLACK,84
2022-05,CE,UNSAFE,77
2022-05,CE,INFRASTRUCTURE,74
2022-05,CE,SLUMS,67
2022-05,CE,GENDER,64
