theme_code,text_repr,iptc_rule_id,iptc_rule_label,rule_confidence,iptc_nn_id,iptc_nn_label,nn_score,iptc_second_id,iptc_second_label,second_score,iptc_final_id,iptc_final_label,decision_source,final_confidence
CEASEFIRE,CEASEFIRE - Ceasefire,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.44507789611816406,03000000,"disaster, accident and emergency incident",0.20249369740486145,16000000,"conflict, war and peace",agreement,0.9
CHARASMATIC,CHARASMATIC - Charasmatic,08000000,human interest,0.9,08000000,human interest,0.08541879057884216,02000000,"crime, law and justice",0.084695003926754,08000000,human interest,agreement,0.9
CHECKPOINT,CHECKPOINT - Checkpoint,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.16811922192573547,03000000,"disaster, accident and emergency incident",0.08975960314273834,16000000,"conflict, war and peace",agreement,0.9
CLAIM,CLAIM - Claim,09000000,labour,0.9,09000000,labour,0.25813013315200806,03000000,"disaster, accident and emergency incident",0.1639334112405777,09000000,labour,agreement,0.9
CLOSURE,CLOSURE - Closure,03000000,"disaster, accident and emergency incident",0.9,12000000,religion,0.10321018099784851,16000000,"conflict, war and peace",0.09568660706281662,03000000,"disaster, accident and emergency incident",rule_preferred,0.9
CONFISCATION,CONFISCATION - Confiscation,02000000,"crime, law and justice",0.9,11000000,politics and government,0.06018262356519699,02000000,"crime, law and justice",0.03382459655404091,02000000,"crime, law and justice",rule_preferred,0.9
CONSTITUTIONAL,CONSTITUTIONAL - Constitutional,11000000,politics and government,0.9,02000000,"crime, law and justice",0.36697033047676086,11000000,politics and government,0.36093050241470337,11000000,politics and government,ambiguous,0.6334851652383804
CORRUPTION,CORRUPTION - Corruption,02000000,"crime, law and justice",0.9,11000000,politics and government,0.35454288125038147,02000000,"crime, law and justice",0.30743664503097534,02000000,"crime, law and justice",ambiguous,0.6272714406251907
CRIME,CRIME - Crime,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.6426516771316528,11000000,politics and government,0.36845117807388306,02000000,"crime, law and justice",agreement,0.9
CRISISLEX,CRISISLEX - CONFLICT / WAR / PEACE - Crisis events and conflicts - Crisislex,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.5683631300926208,03000000,"disaster, accident and emergency incident",0.46866536140441895,16000000,"conflict, war and peace",agreement,0.9
CRM,CRM - Crm,14000000,society,0.9,05000000,education,0.09989293664693832,02000000,"crime, law and justice",0.09425666928291321,14000000,society,rule_preferred,0.9
CURFEW,CURFEW - Curfew,14000000,society,0.9,14000000,society,0.21619907021522522,02000000,"crime, law and justice",0.2048550248146057,14000000,society,agreement,0.9
CYBER,CYBER - Cyber,13000000,science and technology,0.9,13000000,science and technology,0.25003039836883545,05000000,education,0.20206041634082794,13000000,science and technology,agreement,0.9
DEATH,DEATH - Death,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2803104519844055,11000000,politics and government,0.2642098069190979,02000000,"crime, law and justice",agreement,0.9
DEFECTION,DEFECTION - Defection,03000000,"disaster, accident and emergency incident",0.9,13000000,science and technology,0.22914090752601624,03000000,"disaster, accident and emergency incident",0.1897299885749817,03000000,"disaster, accident and emergency incident",rule_preferred,0.9
DELAY,DELAY - Delay,03000000,"disaster, accident and emergency incident",0.9,13000000,science and technology,0.1335308998823166,16000000,"conflict, war and peace",0.09294648468494415,03000000,"disaster, accident and emergency incident",rule_preferred,0.9
DEMOCRACY,DEMOCRACY - POLITICS / GOVERNMENT - Democratic processes - Democracy,11000000,politics and government,0.9,11000000,politics and government,0.651915431022644,16000000,"conflict, war and peace",0.4268895089626312,11000000,politics and government,agreement,0.9
DISABILITY,DISABILITY - Disability,07000000,health,0.9,07000000,health,0.2514704465866089,14000000,society,0.2159496545791626,07000000,health,agreement,0.9
DISASTER,DISASTER - ENVIRONMENT / NATURAL HAZARDS - Natural disasters - Disaster,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.836014449596405,06000000,environment,0.5292800664901733,03000000,"disaster, accident and emergency incident",agreement,0.9
DISCRIMINATION,DISCRIMINATION - Discrimination,14000000,society,0.9,09000000,labour,0.3549621105194092,14000000,society,0.28158774971961975,14000000,society,ambiguous,0.6274810552597045
DISPLACED,DISPLACED - Displaced,14000000,society,0.9,03000000,"disaster, accident and emergency incident",0.18030601739883423,09000000,labour,0.14003345370292664,14000000,society,rule_preferred,0.9
DRONES,DRONES - Drones,16000000,"conflict, war and peace",0.9,13000000,science and technology,0.19708913564682007,16000000,"conflict, war and peace",0.18720035254955292,16000000,"conflict, war and peace",rule_preferred,0.9
DRUG,DRUG - Drug,02000000,"crime, law and justice",0.9,11000000,politics and government,0.2760244607925415,07000000,health,0.2555498480796814,02000000,"crime, law and justice",rule_preferred,0.9
ECON,ECON - ECONOMY / FINANCE - Economic events and financial news - Econ,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.6612800359725952,13000000,science and technology,0.2929490804672241,04000000,"economy, business and finance",agreement,0.9
EDUCATION,EDUCATION - EDUCATION & SCIENCE - Education and learning - Education,05000000,education,0.9,05000000,education,0.737320065498352,13000000,science and technology,0.5217894911766052,05000000,education,agreement,0.9
ELECTION,ELECTION - POLITICS / GOVERNMENT - Elections and voting - Election,11000000,politics and government,0.9,11000000,politics and government,0.7291024923324585,16000000,"conflict, war and peace",0.33105501532554626,11000000,politics and government,agreement,0.9
EMERG,EMERG - Emerg,03000000,"disaster, accident and emergency incident",0.9,16000000,"conflict, war and peace",0.16061264276504517,03000000,"disaster, accident and emergency incident",0.10753626376390457,03000000,"disaster, accident and emergency incident",rule_preferred,0.9
ENV,ENV - ENVIRONMENT / NATURAL HAZARDS - Environmental issues and climate - Env,06000000,environment,0.9,06000000,environment,0.6796301603317261,03000000,"disaster, accident and emergency incident",0.5260398387908936,06000000,environment,agreement,0.9
EPU,EPU - ECONOMY / FINANCE - Economic policy uncertainty - Epu,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.4314267635345459,05000000,education,0.23909416794776917,04000000,"economy, business and finance",agreement,0.9
ETH,ETH - Eth,14000000,society,0.9,13000000,science and technology,0.21545974910259247,10000000,lifestyle and leisure,0.1749172955751419,14000000,society,rule_preferred,0.9
EVACUATION,EVACUATION - Evacuation,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.48103827238082886,11000000,politics and government,0.22503206133842468,03000000,"disaster, accident and emergency incident",agreement,0.9
EXHUMATION,EXHUMATION - Exhumation,06000000,environment,0.9,06000000,environment,0.23858898878097534,09000000,labour,0.17523258924484253,06000000,environment,agreement,0.9
EXILE,EXILE - Exile,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.18457284569740295,16000000,"conflict, war and peace",0.17556515336036682,10000000,lifestyle and leisure,agreement,0.9
EXTREMISM,EXTREMISM - Extremism,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3092884123325348,11000000,politics and government,0.24369201064109802,16000000,"conflict, war and peace",agreement,0.9
FIREARM,FIREARM - Firearm,03000000,"disaster, accident and emergency incident",0.9,02000000,"crime, law and justice",0.28169387578964233,16000000,"conflict, war and peace",0.23164668679237366,03000000,"disaster, accident and emergency incident",rule_preferred,0.9
FOOD,FOOD - Food,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.4201383590698242,07000000,health,0.2859225273132324,10000000,lifestyle and leisure,agreement,0.9
FREESPEECH,FREESPEECH - Freespeech,11000000,politics and government,0.9,11000000,politics and government,0.16046257317066193,10000000,lifestyle and leisure,0.1142304465174675,11000000,politics and government,agreement,0.9
FUELPRICES,FUELPRICES - Fuelprices,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.19728046655654907,06000000,environment,0.15237349271774292,04000000,"economy, business and finance",agreement,0.9
GEN,GEN - Gen,14000000,society,0.9,13000000,science and technology,0.1758614480495453,14000000,society,0.13033515214920044,14000000,society,rule_preferred,0.9
GENDER,GENDER - Gender,14000000,society,0.9,11000000,politics and government,0.31514760851860046,14000000,society,0.30510270595550537,14000000,society,ambiguous,0.6075738042593002
GENERAL,GENERAL - GENERAL / UNCATEGORIZED - General news and events - General,14000000,society,0.9,03000000,"disaster, accident and emergency incident",0.3895688056945801,15000000,sport,0.339131236076355,14000000,society,ambiguous,0.64478440284729
GENTRIFICATION,GENTRIFICATION - Gentrification,14000000,society,0.9,14000000,society,0.4073197543621063,06000000,environment,0.29060983657836914,14000000,society,agreement,0.9
GOV,GOV - Gov,11000000,politics and government,0.9,11000000,politics and government,0.4872770309448242,02000000,"crime, law and justice",0.26006609201431274,11000000,politics and government,agreement,0.9
GRIEVANCES,GRIEVANCES - Grievances,09000000,labour,0.9,09000000,labour,0.33042365312576294,16000000,"conflict, war and peace",0.274935781955719,09000000,labour,agreement,0.9
HARASSMENT,HARASSMENT - Harassment,02000000,"crime, law and justice",0.9,09000000,labour,0.23532474040985107,02000000,"crime, law and justice",0.18831749260425568,02000000,"crime, law and justice",rule_preferred,0.9
HATE,HATE - Hate,02000000,"crime, law and justice",0.9,11000000,politics and government,0.21131622791290283,16000000,"conflict, war and peace",0.20526880025863647,02000000,"crime, law and justice",rule_preferred,0.9
HEALTH,HEALTH - HEALTH & MEDICAL SCIENCE - Health and medical events - Health,07000000,health,0.9,07000000,health,0.6697743535041809,15000000,sport,0.5807604789733887,07000000,health,agreement,0.9
HUMAN,HUMAN - Human,08000000,human interest,0.9,08000000,human interest,0.22551842033863068,03000000,"disaster, accident and emergency incident",0.2007903903722763,08000000,human interest,agreement,0.9
IDEOLOGY,IDEOLOGY - Ideology,12000000,religion,0.9,12000000,religion,0.4528670907020569,11000000,politics and government,0.3161114752292633,12000000,religion,agreement,0.9
IMMIGRATION,IMMIGRATION - Immigration,14000000,society,0.9,09000000,labour,0.3127909302711487,14000000,society,0.29469695687294006,14000000,society,ambiguous,0.6063954651355743
IMPEACHMENT,IMPEACHMENT - Impeachment,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2077666074037552,11000000,politics and government,0.19629070162773132,02000000,"crime, law and justice",agreement,0.9
INCOME,INCOME - Income,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.3375133275985718,14000000,society,0.29282188415527344,04000000,"economy, business and finance",agreement,0.9
INEQUALITY,INEQUALITY - Inequality,14000000,society,0.9,09000000,labour,0.2277829647064209,14000000,society,0.17331504821777344,14000000,society,rule_preferred,0.9
INFO,INFO - Info,01000000,"arts, culture, entertainment and media",0.9,17000000,weather,0.22329828143119812,07000000,health,0.20917579531669617,01000000,"arts, culture, entertainment and media",rule_preferred,0.9
INFRASTRUCTURE,INFRASTRUCTURE - Infrastructure,05000000,education,0.9,05000000,education,0.3581087589263916,11000000,politics and government,0.3315538763999939,05000000,education,agreement,0.9
INSURGENCY,INSURGENCY - Insurgency,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.4404645562171936,11000000,politics and government,0.21006746590137482,16000000,"conflict, war and peace",agreement,0.9
INTERNET,INTERNET - Internet,13000000,science and technology,0.9,13000000,science and technology,0.317928671836853,17000000,weather,0.2973780035972595,13000000,science and technology,agreement,0.9
JIHAD,JIHAD - Jihad,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3289092183113098,12000000,religion,0.2476184368133545,16000000,"conflict, war and peace",agreement,0.9
JUSTICE,JUSTICE - Justice,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.5390222668647766,16000000,"conflict, war and peace",0.20683270692825317,02000000,"crime, law and justice",agreement,0.9
KIDNAP,KIDNAP - Kidnap,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.28708237409591675,16000000,"conflict, war and peace",0.15491580963134766,02000000,"crime, law and justice",agreement,0.9
KILL,KILL - CONFLICT / WAR / PEACE - Death and violence - Kill,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.6687681674957275,02000000,"crime, law and justice",0.4399540424346924,16000000,"conflict, war and peace",agreement,0.9
LANDMINE,LANDMINE - Landmine,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.1857490837574005,06000000,environment,0.12421327829360962,03000000,"disaster, accident and emergency incident",agreement,0.9
LEADER,LEADER - POLITICS / GOVERNMENT - Political leadership changes - Leader,11000000,politics and government,0.9,11000000,politics and government,0.49443644285202026,16000000,"conflict, war and peace",0.28366538882255554,11000000,politics and government,agreement,0.9
LEG,LEG - Leg,15000000,sport,0.9,15000000,sport,0.21561497449874878,11000000,politics and government,0.2115929275751114,15000000,sport,agreement,0.9
LEGALIZE,LEGALIZE - Legalize,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3321983814239502,11000000,politics and government,0.2640817165374756,02000000,"crime, law and justice",agreement,0.9
LEGISLATION,LEGISLATION - POLITICS / GOVERNMENT - Laws and legislation - Legislation,11000000,politics and government,0.9,11000000,politics and government,0.5166019201278687,02000000,"crime, law and justice",0.4748656749725342,11000000,politics and government,agreement,0.9
LGBT,LGBT - Lgbt,14000000,society,0.9,11000000,politics and government,0.32423993945121765,14000000,society,0.31844431161880493,14000000,society,ambiguous,0.6121199697256088
LITERACY,LITERACY - Literacy,05000000,education,0.9,05000000,education,0.3328981101512909,08000000,human interest,0.2721874713897705,05000000,education,agreement,0.9
LOCUSTS,LOCUSTS - Locusts,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.09845158457756042,10000000,lifestyle and leisure,0.09277229011058807,03000000,"disaster, accident and emergency incident",agreement,0.9
MANMADE,MANMADE - ENVIRONMENT / NATURAL HAZARDS - Man-made hazards and accidents - Manmade,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.7055385112762451,06000000,environment,0.5241832137107849,03000000,"disaster, accident and emergency incident",agreement,0.9
MARITIME,MARITIME - Maritime,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.28365522623062134,04000000,"economy, business and finance",0.25822389125823975,16000000,"conflict, war and peace",agreement,0.9
MED,MED - Med,07000000,health,0.9,07000000,health,0.331716924905777,10000000,lifestyle and leisure,0.168564572930336,07000000,health,agreement,0.9
MEDIA,MEDIA - LIFESTYLE / ENTERTAINMENT - Media and journalism - Media,07000000,health,0.9,01000000,"arts, culture, entertainment and media",0.6895816326141357,10000000,lifestyle and leisure,0.4881042540073395,01000000,"arts, culture, entertainment and media",nn_override,0.6895816326141357
MEDICAL,MEDICAL - HEALTH & MEDICAL SCIENCE - Medical procedures and health science - Medical,07000000,health,0.9,07000000,health,0.6300121545791626,11000000,politics and government,0.5165623426437378,07000000,health,agreement,0.9
MIL,MIL - Mil,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.2755473852157593,11000000,politics and government,0.1765502691268921,16000000,"conflict, war and peace",agreement,0.9
MILITARY,MILITARY - CONFLICT / WAR / PEACE - Military operations and news - Military,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.810248851776123,11000000,politics and government,0.45830681920051575,16000000,"conflict, war and peace",agreement,0.9
MOVEMENT,MOVEMENT - Movement,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.2959558367729187,16000000,"conflict, war and peace",0.25561538338661194,10000000,lifestyle and leisure,agreement,0.9
NATURAL,NATURAL - ENVIRONMENT / NATURAL HAZARDS - Natural resources and nature - Natural,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.6411685943603516,06000000,environment,0.5992061495780945,03000000,"disaster, accident and emergency incident",agreement,0.9
NEGOTIATIONS,NEGOTIATIONS - Negotiations,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.30261310935020447,09000000,labour,0.2996463477611542,16000000,"conflict, war and peace",agreement,0.9
NEW,NEW - New,13000000,science and technology,0.9,13000000,science and technology,0.2090263068675995,11000000,politics and government,0.14580301940441132,13000000,science and technology,agreement,0.9
ORGANIZED,ORGANIZED - Organized,15000000,sport,0.9,15000000,sport,0.29631292819976807,12000000,religion,0.27984392642974854,15000000,sport,agreement,0.9
PEACEKEEPING,PEACEKEEPING - Peacekeeping,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.549466073513031,09000000,labour,0.1823895275592804,16000000,"conflict, war and peace",agreement,0.9
PERSECUTION,PERSECUTION - Persecution,12000000,religion,0.9,12000000,religion,0.2598069906234741,02000000,"crime, law and justice",0.15761388838291168,12000000,religion,agreement,0.9
PHONE,PHONE - Phone,13000000,science and technology,0.9,11000000,politics and government,0.22146490216255188,13000000,science and technology,0.2185738980770111,13000000,science and technology,rule_preferred,0.9
PIPELINE,PIPELINE - Pipeline,13000000,science and technology,0.9,11000000,politics and government,0.09380650520324707,09000000,labour,0.09244051575660706,13000000,science and technology,rule_preferred,0.9
PIRACY,PIRACY - Piracy,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3267163038253784,13000000,science and technology,0.1831214427947998,02000000,"crime, law and justice",agreement,0.9
POL,POL - Pol,11000000,politics and government,0.9,11000000,politics and government,0.3795297145843506,16000000,"conflict, war and peace",0.15182441473007202,11000000,politics and government,agreement,0.9
POLITICAL,POLITICAL - Political,11000000,politics and government,0.9,11000000,politics and government,0.6920391321182251,14000000,society,0.3577166199684143,11000000,politics and government,agreement,0.9
POPULATION,POPULATION - Population,14000000,society,0.9,14000000,society,0.30578967928886414,06000000,environment,0.1517883837223053,14000000,society,agreement,0.9
POVERTY,POVERTY - Poverty,14000000,society,0.9,14000000,society,0.4983386695384979,07000000,health,0.2687647044658661,14000000,society,agreement,0.9
POWER,POWER - Power,11000000,politics and government,0.9,11000000,politics and government,0.20899046957492828,13000000,science and technology,0.20823252201080322,11000000,politics and government,agreement,0.9
PRIVATIZATION,PRIVATIZATION - Privatization,04000000,"economy, business and finance",0.9,11000000,politics and government,0.353572815656662,09000000,labour,0.248351588845253,04000000,"economy, business and finance",ambiguous,0.626786407828331
PROPAGANDA,PROPAGANDA - Propaganda,01000000,"arts, culture, entertainment and media",0.9,11000000,politics and government,0.30220451951026917,01000000,"arts, culture, entertainment and media",0.2735253870487213,01000000,"arts, culture, entertainment and media",ambiguous,0.6011022597551345
PROPERTY,PROPERTY - Property,02000000,"crime, law and justice",0.9,12000000,religion,0.2082986980676651,03000000,"disaster, accident and emergency incident",0.164679154753685,02000000,"crime, law and justice",rule_preferred,0.9
PROTEST,PROTEST - Protest,11000000,politics and government,0.9,11000000,politics and government,0.2509726881980896,15000000,sport,0.21606889367103577,11000000,politics and government,agreement,0.9
PUBLIC,PUBLIC - Public,11000000,politics and government,0.9,11000000,politics and government,0.456997275352478,14000000,society,0.2748510539531708,11000000,politics and government,agreement,0.9
RAIL,RAIL - Rail,09000000,labour,0.9,09000000,labour,0.2367120087146759,11000000,politics and government,0.20004692673683167,09000000,labour,agreement,0.9
RAPE,RAPE - Rape,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3668363094329834,11000000,politics and government,0.27620118856430054,02000000,"crime, law and justice",agreement,0.9
RATIFY,RATIFY - Ratify,11000000,politics and government,0.8,12000000,religion,0.10636787861585617,09000000,labour,0.07663421332836151,11000000,politics and government,rule_preferred,0.8
REBELLION,REBELLION - Rebellion,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3100341558456421,11000000,politics and government,0.2930251955986023,16000000,"conflict, war and peace",agreement,0.9
REBELS,REBELS - Rebels,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.31054961681365967,11000000,politics and government,0.23573380708694458,16000000,"conflict, war and peace",agreement,0.9
RECRUITMENT,RECRUITMENT - Recruitment,09000000,labour,0.9,09000000,labour,0.3840368688106537,16000000,"conflict, war and peace",0.23928838968276978,09000000,labour,agreement,0.9
REFUGEES,REFUGEES - Refugees,14000000,society,0.9,14000000,society,0.3253387212753296,16000000,"conflict, war and peace",0.2578463852405548,14000000,society,agreement,0.9
REL,REL - Rel,14000000,society,0.9,10000000,lifestyle and leisure,0.11998270452022552,16000000,"conflict, war and peace",0.10513664782047272,14000000,society,rule_preferred,0.9
RELATIONS,RELATIONS - Relations,09000000,labour,0.9,09000000,labour,0.33522501587867737,12000000,religion,0.25197964906692505,09000000,labour,agreement,0.9
RELEASE,RELEASE - Release,14000000,society,0.9,13000000,science and technology,0.1945776343345642,16000000,"conflict, war and peace",0.17723391950130463,14000000,society,rule_preferred,0.9
RELIGION,RELIGION - LIFESTYLE / ENTERTAINMENT - Religious activities - Religion,12000000,religion,0.9,12000000,religion,0.6316094398498535,01000000,"arts, culture, entertainment and media",0.5983419418334961,12000000,religion,agreement,0.9
RESIGNATION,RESIGNATION - Resignation,09000000,labour,0.9,09000000,labour,0.15723374485969543,16000000,"conflict, war and peace",0.08871689438819885,09000000,labour,agreement,0.9
RETALIATE,RETALIATE - Retaliate,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.14350555837154388,16000000,"conflict, war and peace",0.13684232532978058,02000000,"crime, law and justice",agreement,0.9
RETIREMENT,RETIREMENT - Retirement,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.22477084398269653,09000000,labour,0.20522505044937134,10000000,lifestyle and leisure,agreement,0.9
RETIREMENTS,RETIREMENTS - Retirements,10000000,lifestyle and leisure,0.9,09000000,labour,0.2653656601905823,10000000,lifestyle and leisure,0.261678010225296,10000000,lifestyle and leisure,rule_preferred,0.9
ROAD,ROAD - Road,11000000,politics and government,0.9,11000000,politics and government,0.2757335901260376,10000000,lifestyle and leisure,0.2308906614780426,11000000,politics and government,agreement,0.9
RURAL,RURAL - Rural,14000000,society,0.9,14000000,society,0.3145335912704468,10000000,lifestyle and leisure,0.30298492312431335,14000000,society,agreement,0.9
SANCTIONS,SANCTIONS - Sanctions,11000000,politics and government,0.9,02000000,"crime, law and justice",0.2906491160392761,16000000,"conflict, war and peace",0.2717858850955963,11000000,politics and government,rule_preferred,0.9
SANITATION,SANITATION - Sanitation,07000000,health,0.9,06000000,environment,0.3441295623779297,07000000,health,0.3269146978855133,07000000,health,ambiguous,0.6220647811889648
SCANDAL,SCANDAL - Scandal,02000000,"crime, law and justice",0.9,11000000,politics and government,0.29285261034965515,04000000,"economy, business and finance",0.24613432586193085,02000000,"crime, law and justice",rule_preferred,0.9
SCIENCE,SCIENCE - EDUCATION & SCIENCE - Scientific discoveries and research - Science,13000000,science and technology,0.9,13000000,science and technology,0.7288020849227905,05000000,education,0.5322870016098022,13000000,science and technology,agreement,0.9
SECURITY,SECURITY - CONFLICT / WAR / PEACE - Security issues and defense - Security,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.7065542936325073,14000000,society,0.37240371108055115,16000000,"conflict, war and peace",agreement,0.9
SEIGE,SEIGE - Seige,02000000,"crime, law and justice",0.9,10000000,lifestyle and leisure,0.159357488155365,11000000,politics and government,0.15498410165309906,02000000,"crime, law and justice",rule_preferred,0.9
SEIZE,SEIZE - Seize,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.20699074864387512,16000000,"conflict, war and peace",0.1972726285457611,02000000,"crime, law and justice",agreement,0.9
SELF,SELF - Self,08000000,human interest,0.9,08000000,human interest,0.26044923067092896,12000000,religion,0.22762322425842285,08000000,human interest,agreement,0.9
SEPARATISTS,SEPARATISTS - Separatists,16000000,"conflict, war and peace",0.9,11000000,politics and government,0.31979304552078247,09000000,labour,0.29194581508636475,16000000,"conflict, war and peace",ambiguous,0.6098965227603912
SHORTAGE,SHORTAGE - Shortage,09000000,labour,0.9,09000000,labour,0.34264445304870605,06000000,environment,0.2575700283050537,09000000,labour,agreement,0.9
SICKENED,SICKENED - Sickened,07000000,health,0.9,07000000,health,0.22799092531204224,03000000,"disaster, accident and emergency incident",0.16509085893630981,07000000,health,agreement,0.9
SLFID,SLFID - Slfid,14000000,society,0.9,16000000,"conflict, war and peace",0.13581517338752747,11000000,politics and government,0.10937350988388062,14000000,society,rule_preferred,0.9
SLUMS,SLUMS - Slums,14000000,society,0.9,11000000,politics and government,0.19165123999118805,14000000,society,0.18696805834770203,14000000,society,rule_preferred,0.9
SMUGGLING,SMUGGLING - Smuggling,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.30523011088371277,04000000,"economy, business and finance",0.19364817440509796,02000000,"crime, law and justice",agreement,0.9
SOC,SOC - SOCIETY / SOCIAL ISSUES - Social issues and community events - Soc,14000000,society,0.9,14000000,society,0.6555434465408325,15000000,sport,0.40581950545310974,14000000,society,agreement,0.9
