theme_code,text_repr,iptc_rule_id,iptc_rule_label,rule_confidence,iptc_nn_id,iptc_nn_label,nn_score,iptc_second_id,iptc_second_label,second_score,iptc_final_id,iptc_final_label,decision_source,final_confidence,tsne_x,tsne_y
CRM,CRM - Crm,14000000,society,0.9,05000000,education,0.09989293664693832,02000000,"crime, law and justice",0.09425666928291321,14000000,society,rule_preferred,0.9,51.33067321777344,82.76382446289062
CURFEW,CURFEW - Curfew,14000000,society,0.9,14000000,society,0.21619907021522522,02000000,"crime, law and justice",0.2048550248146057,14000000,society,agreement,0.9,71.32550048828125,37.484275817871094
CYBER,CYBER - Cyber,13000000,science and technology,0.9,13000000,science and technology,0.25003039836883545,05000000,education,0.20206041634082794,13000000,science and technology,agreement,0.9,39.86274337768555,77.77946472167969
DEATH,DEATH - Death,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2803104519844055,11000000,politics and government,0.2642098069190979,02000000,"crime, law and justice",agreement,0.9,59.20287322998047,49.63074493408203
DEFECTION,DEFECTION - Defection,03000000,"disaster, accident and emergency incident",0.9,13000000,science and technology,0.22914090752601624,03000000,"disaster, accident and emergency incident",0.1897299885749817,03000000,"disaster, accident and emergency incident",rule_preferred,0.9,69.02007293701172,72.67467498779297
DELAY,DELAY - Delay,03000000,"disaster, accident and emergency incident",0.9,13000000,science and technology,0.1335308998823166,16000000,"conflict, war and peace",0.09294648468494415,03000000,"disaster, accident and emergency incident",rule_preferred,0.9,33.212646484375,81.50729370117188
DEMOCRACY,DEMOCRACY - POLITICS / GOVERNMENT - Democratic processes - Democracy,11000000,politics and government,0.9,11000000,politics and government,0.651915431022644,16000000,"conflict, war and peace",0.4268895089626312,11000000,politics and government,agreement,0.9,30.136699676513672,34.13507843017578
DISABILITY,DISABILITY - Disability,07000000,health,0.9,07000000,health,0.2514704465866089,14000000,society,0.2159496545791626,07000000,health,agreement,0.9,86.17927551269531,48.21355056762695
DISASTER,DISASTER - ENVIRONMENT / NATURAL HAZARDS - Natural disasters - Disaster,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.836014449596405,06000000,environment,0.5292800664901733,03000000,"disaster, accident and emergency incident",agreement,0.9,17.88865089416504,12.41847038269043
DISCRIMINATION,DISCRIMINATION - Discrimination,14000000,society,0.9,09000000,labour,0.3549621105194092,14000000,society,0.28158774971961975,14000000,society,ambiguous,0.6274810552597045,85.2673110961914,42.767635345458984
DISPLACED,DISPLACED - Displaced,14000000,society,0.9,03000000,"disaster, accident and emergency incident",0.18030601739883423,09000000,labour,0.14003345370292664,14000000,society,rule_preferred,0.9,72.73971557617188,16.261123657226562
DRONES,DRONES - Drones,16000000,"conflict, war and peace",0.9,13000000,science and technology,0.19708913564682007,16000000,"conflict, war and peace",0.18720035254955292,16000000,"conflict, war and peace",rule_preferred,0.9,60.0488166809082,82.41606903076172
DRUG,DRUG - Drug,02000000,"crime, law and justice",0.9,11000000,politics and government,0.2760244607925415,07000000,health,0.2555498480796814,02000000,"crime, law and justice",rule_preferred,0.9,49.679813385009766,66.61451721191406
ECON,ECON - ECONOMY / FINANCE - Economic events and financial news - Econ,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.6612800359725952,13000000,science and technology,0.2929490804672241,04000000,"economy, business and finance",agreement,0.9,6.651644706726074,49.2169075012207
EDUCATION,EDUCATION - EDUCATION & SCIENCE - Education and learning - Education,05000000,education,0.9,05000000,education,0.737320065498352,13000000,science and technology,0.5217894911766052,05000000,education,agreement,0.9,6.9965338706970215,30.90245819091797
ELECTION,ELECTION - POLITICS / GOVERNMENT - Elections and voting - Election,11000000,politics and government,0.9,11000000,politics and government,0.7291024923324585,16000000,"conflict, war and peace",0.33105501532554626,11000000,politics and government,agreement,0.9,30.454702377319336,34.74833679199219
EMERG,EMERG - Emerg,03000000,"disaster, accident and emergency incident",0.9,16000000,"conflict, war and peace",0.16061264276504517,03000000,"disaster, accident and emergency incident",0.10753626376390457,03000000,"disaster, accident and emergency incident",rule_preferred,0.9,47.46282196044922,75.91768646240234
ENV,ENV - ENVIRONMENT / NATURAL HAZARDS - Environmental issues and climate - Env,06000000,environment,0.9,06000000,environment,0.6796301603317261,03000000,"disaster, accident and emergency incident",0.5260398387908936,06000000,environment,agreement,0.9,17.57108497619629,9.237447738647461
EPU,EPU - ECONOMY / FINANCE - Economic policy uncertainty - Epu,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.4314267635345459,05000000,education,0.23909416794776917,04000000,"economy, business and finance",agreement,0.9,7.0684027671813965,52.47758102416992
ETH,ETH - Eth,14000000,society,0.9,13000000,science and technology,0.21545974910259247,10000000,lifestyle and leisure,0.1749172955751419,14000000,society,rule_preferred,0.9,43.91946029663086,74.46052551269531
EVACUATION,EVACUATION - Evacuation,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.48103827238082886,11000000,politics and government,0.22503206133842468,03000000,"disaster, accident and emergency incident",agreement,0.9,71.954833984375,53.24348449707031
EXHUMATION,EXHUMATION - Exhumation,06000000,environment,0.9,06000000,environment,0.23858898878097534,09000000,labour,0.17523258924484253,06000000,environment,agreement,0.9,75.06952667236328,52.210819244384766
EXILE,EXILE - Exile,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.18457284569740295,16000000,"conflict, war and peace",0.17556515336036682,10000000,lifestyle and leisure,agreement,0.9,70.73822784423828,17.59865951538086
EXTREMISM,EXTREMISM - Extremism,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3092884123325348,11000000,politics and government,0.24369201064109802,16000000,"conflict, war and peace",agreement,0.9,55.26460266113281,17.820281982421875
FIREARM,FIREARM - Firearm,03000000,"disaster, accident and emergency incident",0.9,02000000,"crime, law and justice",0.28169387578964233,16000000,"conflict, war and peace",0.23164668679237366,03000000,"disaster, accident and emergency incident",rule_preferred,0.9,45.47484588623047,42.94319152832031
FOOD,FOOD - Food,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.4201383590698242,07000000,health,0.2859225273132324,10000000,lifestyle and leisure,agreement,0.9,44.029693603515625,59.79661178588867
FREESPEECH,FREESPEECH - Freespeech,11000000,politics and government,0.9,11000000,politics and government,0.16046257317066193,10000000,lifestyle and leisure,0.1142304465174675,11000000,politics and government,agreement,0.9,58.40024948120117,72.17876434326172
FUELPRICES,FUELPRICES - Fuelprices,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.19728046655654907,06000000,environment,0.15237349271774292,04000000,"economy, business and finance",agreement,0.9,5.0,57.54575729370117
GEN,GEN - Gen,14000000,society,0.9,13000000,science and technology,0.1758614480495453,14000000,society,0.13033515214920044,14000000,society,rule_preferred,0.9,63.35581588745117,72.01786041259766
GENDER,GENDER - Gender,14000000,society,0.9,11000000,politics and government,0.31514760851860046,14000000,society,0.30510270595550537,14000000,society,ambiguous,0.6075738042593002,46.50557327270508,51.700923919677734
GENERAL,GENERAL - GENERAL / UNCATEGORIZED - General news and events - General,14000000,society,0.9,03000000,"disaster, accident and emergency incident",0.3895688056945801,15000000,sport,0.339131236076355,14000000,society,ambiguous,0.64478440284729,17.19069480895996,36.706886291503906
GENTRIFICATION,GENTRIFICATION - Gentrification,14000000,society,0.9,14000000,society,0.4073197543621063,06000000,environment,0.29060983657836914,14000000,society,agreement,0.9,22.44740104675293,63.805965423583984
GOV,GOV - Gov,11000000,politics and government,0.9,11000000,politics and government,0.4872770309448242,02000000,"crime, law and justice",0.26006609201431274,11000000,politics and government,agreement,0.9,34.145423889160156,54.78942108154297
GRIEVANCES,GRIEVANCES - Grievances,09000000,labour,0.9,09000000,labour,0.33042365312576294,16000000,"conflict, war and peace",0.274935781955719,09000000,labour,agreement,0.9,69.14340209960938,39.76248550415039
HARASSMENT,HARASSMENT - Harassment,02000000,"crime, law and justice",0.9,09000000,labour,0.23532474040985107,02000000,"crime, law and justice",0.18831749260425568,02000000,"crime, law and justice",rule_preferred,0.9,84.98800659179688,34.95948028564453
HATE,HATE - Hate,02000000,"crime, law and justice",0.9,11000000,politics and government,0.21131622791290283,16000000,"conflict, war and peace",0.20526880025863647,02000000,"crime, law and justice",rule_preferred,0.9,56.406742095947266,55.60997772216797
HEALTH,HEALTH - HEALTH & MEDICAL SCIENCE - Health and medical events - Health,07000000,health,0.9,07000000,health,0.6697743535041809,15000000,sport,0.5807604789733887,07000000,health,agreement,0.9,9.209949493408203,25.660417556762695
HUMAN,HUMAN - Human,08000000,human interest,0.9,08000000,human interest,0.22551842033863068,03000000,"disaster, accident and emergency incident",0.2007903903722763,08000000,human interest,agreement,0.9,48.78483200073242,56.770877838134766
IDEOLOGY,IDEOLOGY - Ideology,12000000,religion,0.9,12000000,religion,0.4528670907020569,11000000,politics and government,0.3161114752292633,12000000,religion,agreement,0.9,52.79126739501953,9.991308212280273
IMMIGRATION,IMMIGRATION - Immigration,14000000,society,0.9,09000000,labour,0.3127909302711487,14000000,society,0.29469695687294006,14000000,society,ambiguous,0.6063954651355743,76.1800765991211,61.25048065185547
IMPEACHMENT,IMPEACHMENT - Impeachment,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.2077666074037552,11000000,politics and government,0.19629070162773132,02000000,"crime, law and justice",agreement,0.9,64.87179565429688,25.860652923583984
INCOME,INCOME - Income,04000000,"economy, business and finance",0.9,04000000,"economy, business and finance",0.3375133275985718,14000000,society,0.29282188415527344,04000000,"economy, business and finance",agreement,0.9,11.52563762664795,58.01406478881836
INEQUALITY,INEQUALITY - Inequality,14000000,society,0.9,09000000,labour,0.2277829647064209,14000000,society,0.17331504821777344,14000000,society,rule_preferred,0.9,67.59619903564453,64.81112670898438
INFO,INFO - Info,01000000,"arts, culture, entertainment and media",0.9,17000000,weather,0.22329828143119812,07000000,health,0.20917579531669617,01000000,"arts, culture, entertainment and media",rule_preferred,0.9,63.977413177490234,65.84077453613281
INFRASTRUCTURE,INFRASTRUCTURE - Infrastructure,05000000,education,0.9,05000000,education,0.3581087589263916,11000000,politics and government,0.3315538763999939,05000000,education,agreement,0.9,34.16002655029297,67.99810791015625
INSURGENCY,INSURGENCY - Insurgency,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.4404645562171936,11000000,politics and government,0.21006746590137482,16000000,"conflict, war and peace",agreement,0.9,48.7342414855957,20.963712692260742
INTERNET,INTERNET - Internet,13000000,science and technology,0.9,13000000,science and technology,0.317928671836853,17000000,weather,0.2973780035972595,13000000,science and technology,agreement,0.9,40.006412506103516,73.78386688232422
JIHAD,JIHAD - Jihad,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3289092183113098,12000000,religion,0.2476184368133545,16000000,"conflict, war and peace",agreement,0.9,52.9044075012207,17.74469566345215
JUSTICE,JUSTICE - Justice,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.5390222668647766,16000000,"conflict, war and peace",0.20683270692825317,02000000,"crime, law and justice",agreement,0.9,60.897132873535156,42.74665069580078
KIDNAP,KIDNAP - Kidnap,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.28708237409591675,16000000,"conflict, war and peace",0.15491580963134766,02000000,"crime, law and justice",agreement,0.9,55.193702697753906,35.39954376220703
KILL,KILL - CONFLICT / WAR / PEACE - Death and violence - Kill,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.6687681674957275,02000000,"crime, law and justice",0.4399540424346924,16000000,"conflict, war and peace",agreement,0.9,36.39476013183594,18.4774169921875
LANDMINE,LANDMINE - Landmine,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.1857490837574005,06000000,environment,0.12421327829360962,03000000,"disaster, accident and emergency incident",agreement,0.9,58.44184112548828,79.04861450195312
LEADER,LEADER - POLITICS / GOVERNMENT - Political leadership changes - Leader,11000000,politics and government,0.9,11000000,politics and government,0.49443644285202026,16000000,"conflict, war and peace",0.28366538882255554,11000000,politics and government,agreement,0.9,32.45736312866211,33.516883850097656
LEG,LEG - Leg,15000000,sport,0.9,15000000,sport,0.21561497449874878,11000000,politics and government,0.2115929275751114,15000000,sport,agreement,0.9,51.87950134277344,61.179927825927734
LEGALIZE,LEGALIZE - Legalize,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3321983814239502,11000000,politics and government,0.2640817165374756,02000000,"crime, law and justice",agreement,0.9,29.814653396606445,43.57340621948242
LEGISLATION,LEGISLATION - POLITICS / GOVERNMENT - Laws and legislation - Legislation,11000000,politics and government,0.9,11000000,politics and government,0.5166019201278687,02000000,"crime, law and justice",0.4748656749725342,11000000,politics and government,agreement,0.9,30.85215187072754,43.99910354614258
LGBT,LGBT - Lgbt,14000000,society,0.9,11000000,politics and government,0.32423993945121765,14000000,society,0.31844431161880493,14000000,society,ambiguous,0.6121199697256088,46.553070068359375,50.919105529785156
LITERACY,LITERACY - Literacy,05000000,education,0.9,05000000,education,0.3328981101512909,08000000,human interest,0.2721874713897705,05000000,education,agreement,0.9,14.868141174316406,67.60054016113281
LOCUSTS,LOCUSTS - Locusts,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.09845158457756042,10000000,lifestyle and leisure,0.09277229011058807,03000000,"disaster, accident and emergency incident",agreement,0.9,62.9868278503418,79.21881103515625
MANMADE,MANMADE - ENVIRONMENT / NATURAL HAZARDS - Man-made hazards and accidents - Manmade,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.7055385112762451,06000000,environment,0.5241832137107849,03000000,"disaster, accident and emergency incident",agreement,0.9,15.666398048400879,12.527021408081055
MARITIME,MARITIME - Maritime,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.28365522623062134,04000000,"economy, business and finance",0.25822389125823975,16000000,"conflict, war and peace",agreement,0.9,66.12577056884766,86.74490356445312
MED,MED - Med,07000000,health,0.9,07000000,health,0.331716924905777,10000000,lifestyle and leisure,0.168564572930336,07000000,health,agreement,0.9,50.12678527832031,68.27301788330078
MEDIA,MEDIA - LIFESTYLE / ENTERTAINMENT - Media and journalism - Media,07000000,health,0.9,01000000,"arts, culture, entertainment and media",0.6895816326141357,10000000,lifestyle and leisure,0.4881042540073395,01000000,"arts, culture, entertainment and media",nn_override,0.6895816326141357,19.607580184936523,26.14923095703125
MEDICAL,MEDICAL - HEALTH & MEDICAL SCIENCE - Medical procedures and health science - Medical,07000000,health,0.9,07000000,health,0.6300121545791626,11000000,politics and government,0.5165623426437378,07000000,health,agreement,0.9,8.514531135559082,26.29777717590332
MIL,MIL - Mil,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.2755473852157593,11000000,politics and government,0.1765502691268921,16000000,"conflict, war and peace",agreement,0.9,59.622196197509766,60.889556884765625
MILITARY,MILITARY - CONFLICT / WAR / PEACE - Military operations and news - Military,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.810248851776123,11000000,politics and government,0.45830681920051575,16000000,"conflict, war and peace",agreement,0.9,34.976409912109375,15.264464378356934
MOVEMENT,MOVEMENT - Movement,10000000,lifestyle and leisure,0.9,10000000,lifestyle and leisure,0.2959558367729187,16000000,"conflict, war and peace",0.25561538338661194,10000000,lifestyle and leisure,agreement,0.9,68.28684997558594,49.20205307006836
NATURAL,NATURAL - ENVIRONMENT / NATURAL HAZARDS - Natural resources and nature - Natural,03000000,"disaster, accident and emergency incident",0.9,03000000,"disaster, accident and emergency incident",0.6411685943603516,06000000,environment,0.5992061495780945,03000000,"disaster, accident and emergency incident",agreement,0.9,16.92584991455078,11.667530059814453
NEGOTIATIONS,NEGOTIATIONS - Negotiations,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.30261310935020447,09000000,labour,0.2996463477611542,16000000,"conflict, war and peace",agreement,0.9,41.91594696044922,28.01559066772461
NEW,NEW - New,13000000,science and technology,0.9,13000000,science and technology,0.2090263068675995,11000000,politics and government,0.14580301940441132,13000000,science and technology,agreement,0.9,59.65841293334961,68.27149963378906
ORGANIZED,ORGANIZED - Organized,15000000,sport,0.9,15000000,sport,0.29631292819976807,12000000,religion,0.27984392642974854,15000000,sport,agreement,0.9,29.41071891784668,58.586875915527344
PEACEKEEPING,PEACEKEEPING - Peacekeeping,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.549466073513031,09000000,labour,0.1823895275592804,16000000,"conflict, war and peace",agreement,0.9,42.60411834716797,16.043651580810547
PERSECUTION,PERSECUTION - Persecution,12000000,religion,0.9,12000000,religion,0.2598069906234741,02000000,"crime, law and justice",0.15761388838291168,12000000,religion,agreement,0.9,62.10529708862305,16.131216049194336
PHONE,PHONE - Phone,13000000,science and technology,0.9,11000000,politics and government,0.22146490216255188,13000000,science and technology,0.2185738980770111,13000000,science and technology,rule_preferred,0.9,46.86558151245117,62.06581115722656
PIPELINE,PIPELINE - Pipeline,13000000,science and technology,0.9,11000000,politics and government,0.09380650520324707,09000000,labour,0.09244051575660706,13000000,science and technology,rule_preferred,0.9,42.89565658569336,94.99999237060547
PIRACY,PIRACY - Piracy,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3267163038253784,13000000,science and technology,0.1831214427947998,02000000,"crime, law and justice",agreement,0.9,80.76095581054688,69.71847534179688
POL,POL - Pol,11000000,politics and government,0.9,11000000,politics and government,0.3795297145843506,16000000,"conflict, war and peace",0.15182441473007202,11000000,politics and government,agreement,0.9,37.019657135009766,38.594154357910156
POLITICAL,POLITICAL - Political,11000000,politics and government,0.9,11000000,politics and government,0.6920391321182251,14000000,society,0.3577166199684143,11000000,politics and government,agreement,0.9,34.97112274169922,36.89300537109375
POPULATION,POPULATION - Population,14000000,society,0.9,14000000,society,0.30578967928886414,06000000,environment,0.1517883837223053,14000000,society,agreement,0.9,73.14259338378906,79.66731262207031
POVERTY,POVERTY - Poverty,14000000,society,0.9,14000000,society,0.4983386695384979,07000000,health,0.2687647044658661,14000000,society,agreement,0.9,15.72270393371582,61.0133056640625
POWER,POWER - Power,11000000,politics and government,0.9,11000000,politics and government,0.20899046957492828,13000000,science and technology,0.20823252201080322,11000000,politics and government,agreement,0.9,40.60369110107422,53.942684173583984
PRIVATIZATION,PRIVATIZATION - Privatization,04000000,"economy, business and finance",0.9,11000000,politics and government,0.353572815656662,09000000,labour,0.248351588845253,04000000,"economy, business and finance",ambiguous,0.626786407828331,20.489208221435547,56.41835403442383
PROPAGANDA,PROPAGANDA - Propaganda,01000000,"arts, culture, entertainment and media",0.9,11000000,politics and government,0.30220451951026917,01000000,"arts, culture, entertainment and media",0.2735253870487213,01000000,"arts, culture, entertainment and media",ambiguous,0.6011022597551345,52.40393829345703,10.504916191101074
PROPERTY,PROPERTY - Property,02000000,"crime, law and justice",0.9,12000000,religion,0.2082986980676651,03000000,"disaster, accident and emergency incident",0.164679154753685,02000000,"crime, law and justice",rule_preferred,0.9,39.738616943359375,51.55097961425781
PROTEST,PROTEST - Protest,11000000,politics and government,0.9,11000000,politics and government,0.2509726881980896,15000000,sport,0.21606889367103577,11000000,politics and government,agreement,0.9,69.45610046386719,44.88332748413086
PUBLIC,PUBLIC - Public,11000000,politics and government,0.9,11000000,politics and government,0.456997275352478,14000000,society,0.2748510539531708,11000000,politics and government,agreement,0.9,33.23051834106445,61.808685302734375
RAIL,RAIL - Rail,09000000,labour,0.9,09000000,labour,0.2367120087146759,11000000,politics and government,0.20004692673683167,09000000,labour,agreement,0.9,45.23032760620117,93.79004669189453
RAPE,RAPE - Rape,02000000,"crime, law and justice",0.9,02000000,"crime, law and justice",0.3668363094329834,11000000,politics and government,0.27620118856430054,02000000,"crime, law and justice",agreement,0.9,56.991817474365234,44.11049270629883
RATIFY,RATIFY - Ratify,11000000,politics and government,0.8,12000000,religion,0.10636787861585617,09000000,labour,0.07663421332836151,11000000,politics and government,rule_preferred,0.8,54.67525100708008,75.4345703125
REBELLION,REBELLION - Rebellion,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.3100341558456421,11000000,politics and government,0.2930251955986023,16000000,"conflict, war and peace",agreement,0.9,51.62900161743164,24.88631248474121
REBELS,REBELS - Rebels,16000000,"conflict, war and peace",0.9,16000000,"conflict, war and peace",0.31054961681365967,11000000,politics and government,0.23573380708694458,16000000,"conflict, war and peace",agreement,0.9,50.190940856933594,24.907230377197266
RECRUITMENT,RECRUITMENT - Recruitment,09000000,labour,0.9,09000000,labour,0.3840368688106537,16000000,"conflict, war and peace",0.23928838968276978,09000000,labour,agreement,0.9,78.32040405273438,82.32684326171875
REFUGEES,REFUGEES - Refugees,14000000,society,0.9,14000000,society,0.3253387212753296,16000000,"conflict, war and peace",0.2578463852405548,14000000,society,agreement,0.9,75.98041534423828,59.223785400390625
REL,REL - Rel,14000000,society,0.9,10000000,lifestyle and leisure,0.11998270452022552,16000000,"conflict, war and peace",0.10513664782047272,14000000,society,rule_preferred,0.9,49.33359146118164,83.5935287475586
RELATIONS,RELATIONS - Relations,09000000,labour,0.9,09000000,labour,0.33522501587867737,12000000,religion,0.25197964906692505,09000000,labour,agreement,0.9,40.48044967651367,46.72119903564453
RELEASE,RELEASE - Release,14000000,society,0.9,13000000,science and technology,0.1945776343345642,16000000,"conflict, war and peace",0.17723391950130463,14000000,society,rule_preferred,0.9,62.312137603759766,67.82146453857422
RELIGION,RELIGION - LIFESTYLE / ENTERTAINMENT - Religious activities - Religion,12000000,religion,0.9,12000000,religion,0.6316094398498535,01000000,"arts, culture, entertainment and media",0.5983419418334961,12000000,religion,agreement,0.9,17.933826446533203,26.291181564331055
