theme_code,text_repr,issue_category,iptc_id,iptc_label,iptc_definition,similarity,iptc_label_2nd,similarity_2nd,confidence,cluster_id,tsne_x,tsne_y
DISCRIMINATION,DISCRIMINATION,,9000000,labour,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed",0.2842975,society,0.2785638,0.0057336986,1,74.54521,59.955948
DISPLACED,DISPLACED,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.28297615,"arts, culture, entertainment and media",0.17028993,0.11268622,1,44.926506,47.395615
DRONES,DRONES,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.2396664,sport,0.18342185,0.056244552,0,76.471,49.95956
DRUG,DRUG,,7000000,health,All aspects of physical and mental well-being,0.24647582,"crime, law and justice",0.1824677,0.06400812,2,52.99272,63.92301
ECON,ECON - ECONOMY / FINANCE - Economic events and financial news,ECONOMY / FINANCE,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.57492507,labour,0.21873268,0.35619238,5,91.70973,37.3071
EDUCATION,EDUCATION - EDUCATION & SCIENCE - Education and learning,EDUCATION & SCIENCE,5000000,education,"All aspects of furthering knowledge, formally or informally",0.5698576,science and technology,0.48717162,0.08268598,3,78.81377,21.346575
ELECTION,ELECTION - POLITICS / GOVERNMENT - Elections and voting,POLITICS / GOVERNMENT,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.49576598,"conflict, war and peace",0.25231284,0.24345315,4,56.056957,29.459953
EMERG,EMERG,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.1761046,"disaster, accident and emergency incident",0.12476975,0.051334858,0,65.2628,60.631912
ENV,ENV - ENVIRONMENT / NATURAL HAZARDS - Environmental issues and climate,ENVIRONMENT / NATURAL HAZARDS,6000000,environment,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",0.5854087,"disaster, accident and emergency incident",0.4048121,0.18059659,7,66.84099,5.7656097
EPU,EPU - ECONOMY / FINANCE - Economic policy uncertainty,ECONOMY / FINANCE,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.49289277,society,0.16475657,0.3281362,5,89.770515,39.82603
ETH,ETH,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.16962618,"economy, business and finance",0.16287243,0.0067537427,0,66.858505,58.564663
EVACUATION,EVACUATION,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.42463422,"conflict, war and peace",0.20565408,0.21898013,1,7.509186,65.40545
EXHUMATION,EXHUMATION,,6000000,environment,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",0.32751018,"disaster, accident and emergency incident",0.31597406,0.011536121,1,9.012031,66.71411
EXILE,EXILE,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.20403542,politics and government,0.14789577,0.056139648,1,44.26651,47.1059
EXTREMISM,EXTREMISM,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.38400415,"crime, law and justice",0.2663474,0.11765674,1,36.169777,35.14366
FIREARM,FIREARM,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.21262577,"conflict, war and peace",0.16970351,0.04292226,2,32.72435,89.84512
FOOD,FOOD,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.34693465,health,0.31459868,0.032335967,0,65.41174,77.09046
FREESPEECH,FREESPEECH,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.14936876,"disaster, accident and emergency incident",0.12763081,0.021737948,0,52.38161,81.99471
FUELPRICES,FUELPRICES,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.21299908,human interest,0.13750312,0.07549596,5,91.88299,53.38374
GEN,GEN,,17000000,weather,The study and prediction and reporting of meteorological phenomena,0.12735307,"economy, business and finance",0.12161316,0.0057399124,0,75.18917,75.668816
GENDER,GENDER,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.30879042,human interest,0.2980416,0.010748804,1,70.73525,66.36251
GENERAL,GENERAL - GENERAL / UNCATEGORIZED - General news and events,GENERAL / UNCATEGORIZED,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.33443218,"disaster, accident and emergency incident",0.288355,0.04607719,3,46.058685,10.1171055
GENTRIFICATION,GENTRIFICATION,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.30721784,environment,0.23404106,0.07317677,1,82.615,72.50643
GOV,GOV,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.49863926,society,0.3239212,0.17471805,4,56.151443,46.026085
GRIEVANCES,GRIEVANCES,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.40133107,society,0.29126424,0.11006683,1,35.18611,43.15791
HARASSMENT,HARASSMENT,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.27600643,"conflict, war and peace",0.21786222,0.05814421,1,24.685303,64.52846
HATE,HATE,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.15543409,"disaster, accident and emergency incident",0.10097544,0.054458648,0,39.430103,62.79612
HEALTH,HEALTH - HEALTH & MEDICAL SCIENCE - Health and medical events,HEALTH & MEDICAL SCIENCE,7000000,health,All aspects of physical and mental well-being,0.4958982,science and technology,0.40804687,0.087851316,3,73.19455,17.97423
HUMAN,HUMAN,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.4170624,"disaster, accident and emergency incident",0.3272995,0.0897629,0,67.290184,68.92868
IDEOLOGY,IDEOLOGY,,12000000,religion,Belief systems and institutions and people who provide moral guidance to followers,0.3950066,society,0.34958628,0.04542032,1,43.156788,35.503418
IMMIGRATION,IMMIGRATION,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.29988176,labour,0.25007474,0.049807012,1,6.1142387,49.428074
IMPEACHMENT,IMPEACHMENT,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.2152918,"conflict, war and peace",0.20340362,0.011888176,2,19.008123,40.18406
INCOME,INCOME,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.43564594,labour,0.3855785,0.050067425,1,88.98187,58.602535
INEQUALITY,INEQUALITY,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.15610221,environment,0.15324935,0.002852857,1,73.61848,85.78685
INFO,INFO,,5000000,education,"All aspects of furthering knowledge, formally or informally",0.20405667,human interest,0.17130513,0.03275153,0,48.228153,74.489
INFRASTRUCTURE,INFRASTRUCTURE,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.35242307,politics and government,0.3281886,0.024234474,0,55.972507,68.302246
INSURGENCY,INSURGENCY,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.38665673,"disaster, accident and emergency incident",0.1480817,0.23857503,6,28.616684,30.747763
INTERNET,INTERNET,,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.27483127,society,0.23501219,0.039819077,0,57.69047,72.043686
JIHAD,JIHAD,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.35531417,religion,0.26917422,0.08613995,1,36.195206,33.49169
JUSTICE,JUSTICE,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.47115105,"disaster, accident and emergency incident",0.24942198,0.22172907,2,26.853758,53.016735
KIDNAP,KIDNAP,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.19681361,"disaster, accident and emergency incident",0.15190142,0.04491219,2,23.520542,58.30128
KILL,KILL - CONFLICT / WAR / PEACE - Death and violence,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.66876554,"arts, culture, entertainment and media",0.29559672,0.37316883,6,36.64271,20.612286
LANDMINE,LANDMINE,,6000000,environment,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",0.18337208,"disaster, accident and emergency incident",0.1827469,0.0006251782,0,55.97275,85.94731
LEADER,LEADER - POLITICS / GOVERNMENT - Political leadership changes,POLITICS / GOVERNMENT,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.43846077,"conflict, war and peace",0.2796315,0.15882927,4,52.723434,29.076267
LEG,LEG,,15000000,sport,Competitive activity or skill that involves physical and/or mental effort and organisations and bodies involved in these activities,0.24346232,health,0.23627277,0.007189557,2,60.655125,63.232872
LEGALIZE,LEGALIZE,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.36357367,politics and government,0.25541025,0.10816342,4,61.00957,35.045998
LEGISLATION,LEGISLATION - POLITICS / GOVERNMENT - Laws and legislation,POLITICS / GOVERNMENT,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.52002764,"crime, law and justice",0.46845558,0.051572055,4,60.312637,33.360558
LGBT,LGBT,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.27682126,society,0.25411165,0.022709608,1,71.43536,65.402115
LITERACY,LITERACY,,5000000,education,"All aspects of furthering knowledge, formally or informally",0.3455627,science and technology,0.23813352,0.10742918,1,84.492874,64.11126
LOCUSTS,LOCUSTS,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.17052044,religion,0.16571476,0.004805684,0,79.80299,51.066547
MANMADE,MANMADE - ENVIRONMENT / NATURAL HAZARDS - Man-made hazards and accidents,ENVIRONMENT / NATURAL HAZARDS,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.68052334,environment,0.51926637,0.16125697,7,63.52599,5.0
MARITIME,MARITIME,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.19302401,society,0.17504188,0.017982125,0,71.67344,46.767155
MED,MED,,7000000,health,All aspects of physical and mental well-being,0.27682552,"disaster, accident and emergency incident",0.17909586,0.09772965,2,54.189835,62.89267
MEDIA,MEDIA - LIFESTYLE / ENTERTAINMENT - Media and journalism,LIFESTYLE / ENTERTAINMENT,1000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media",0.648257,lifestyle and leisure,0.39063674,0.25762028,3,58.966724,18.26495
MEDICAL,MEDICAL - HEALTH & MEDICAL SCIENCE - Medical procedures and health science,HEALTH & MEDICAL SCIENCE,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.47657767,health,0.39497593,0.08160174,3,74.05381,18.385872
MIL,MIL,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.19230926,society,0.14584763,0.046461627,0,71.65182,73.70029
MILITARY,MILITARY - CONFLICT / WAR / PEACE - Military operations and news,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.620321,"arts, culture, entertainment and media",0.33796728,0.2823537,6,39.363342,15.187658
MOVEMENT,MOVEMENT,,15000000,sport,Competitive activity or skill that involves physical and/or mental effort and organisations and bodies involved in these activities,0.32300818,"conflict, war and peace",0.26487654,0.058131635,1,34.885307,82.32924
NATURAL,NATURAL - ENVIRONMENT / NATURAL HAZARDS - Natural resources and nature,ENVIRONMENT / NATURAL HAZARDS,6000000,environment,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",0.55098146,"disaster, accident and emergency incident",0.5041461,0.046835363,7,64.93997,6.915206
NEGOTIATIONS,NEGOTIATIONS,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.3197059,"economy, business and finance",0.24757439,0.072131515,1,37.21306,45.72049
NEW,NEW,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.09871274,lifestyle and leisure,0.09697603,0.0017367154,0,49.03395,77.63547
ORGANIZED,ORGANIZED,,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.2637739,politics and government,0.24740335,0.016370535,0,24.665392,79.35722
PEACEKEEPING,PEACEKEEPING,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.5151968,politics and government,0.28165355,0.23354325,6,27.762547,24.771841
PERSECUTION,PERSECUTION,,12000000,religion,Belief systems and institutions and people who provide moral guidance to followers,0.34650797,"crime, law and justice",0.23498847,0.1115195,1,32.67518,50.00592
PHONE,PHONE,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.22225985,human interest,0.21116403,0.011095822,0,56.471107,74.03006
PIPELINE,PIPELINE,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.11785935,labour,0.08458783,0.03327152,0,46.81395,62.0441
PIRACY,PIRACY,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.27910128,"arts, culture, entertainment and media",0.17608416,0.10301712,2,17.384861,50.56166
POL,POL,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.3493824,"conflict, war and peace",0.18669999,0.16268241,4,50.624634,37.229794
POLITICAL,POLITICAL,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.5345595,"conflict, war and peace",0.4050507,0.1295088,4,50.233936,36.000435
POPULATION,POPULATION,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.27307147,labour,0.1871463,0.08592516,1,80.21335,78.81832
POVERTY,POVERTY,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.40784132,labour,0.40713993,0.00070139766,1,87.486565,61.528397
POWER,POWER,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.3779217,"disaster, accident and emergency incident",0.22435132,0.15357038,0,57.406563,77.34151
PRIVATIZATION,PRIVATIZATION,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.31401664,politics and government,0.2781052,0.03591144,4,66.96504,40.050682
PROPAGANDA,PROPAGANDA,,1000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media",0.26238587,"conflict, war and peace",0.2455337,0.01685217,1,41.677155,36.696033
PROPERTY,PROPERTY,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.3076083,"economy, business and finance",0.2483778,0.059230506,0,60.641766,81.30304
PROTEST,PROTEST,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.39461252,society,0.20219147,0.19242105,1,32.489235,40.3364
PUBLIC,PUBLIC,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.32235023,politics and government,0.2584924,0.06385782,0,28.965446,75.52677
RAIL,RAIL,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.15761936,"crime, law and justice",0.14477165,0.012847707,0,35.57728,88.33155
RAPE,RAPE,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.26049742,"conflict, war and peace",0.22360289,0.03689453,2,28.582909,58.14791
RATIFY,RATIFY,,12000000,religion,Belief systems and institutions and people who provide moral guidance to followers,0.1408934,human interest,0.12401126,0.016882136,0,57.262943,89.19525
REBELLION,REBELLION,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.39520934,politics and government,0.2320191,0.16319025,6,28.266214,34.43929
REBELS,REBELS,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.3403685,politics and government,0.182715,0.15765351,6,27.924599,32.82361
RECRUITMENT,RECRUITMENT,,9000000,labour,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed",0.3743808,sport,0.24875405,0.12562674,1,49.470303,55.7524
REFUGEES,REFUGEES,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.29873002,society,0.29718325,0.0015467703,1,5.0,50.262115
REL,REL,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.11161648,"arts, culture, entertainment and media",0.093075186,0.018541291,0,46.566933,92.01948
RELATIONS,RELATIONS,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.35301527,"conflict, war and peace",0.27306187,0.0799534,1,64.39236,85.0399
RELEASE,RELEASE,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.16618791,weather,0.14366023,0.02252768,0,50.131886,77.82504
RELIGION,RELIGION - LIFESTYLE / ENTERTAINMENT - Religious activities,LIFESTYLE / ENTERTAINMENT,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.5745595,"arts, culture, entertainment and media",0.574312,0.0002475381,3,61.880627,18.517551
RESIGNATION,RESIGNATION,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.11948682,lifestyle and leisure,0.100553825,0.018932998,1,39.58462,51.385128
RETALIATE,RETALIATE,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.15928158,"conflict, war and peace",0.15503341,0.004248172,0,45.331814,95.0
RETIREMENT,RETIREMENT,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.24013951,health,0.2382704,0.0018691123,1,6.1464667,80.04897
RETIREMENTS,RETIREMENTS,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.2783578,lifestyle and leisure,0.26781023,0.010547578,1,6.1197233,80.077324
ROAD,ROAD,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.2178568,"conflict, war and peace",0.19553442,0.022322372,0,40.934757,76.27289
RURAL,RURAL,,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.2547419,society,0.21906294,0.035678968,1,82.93607,68.79488
SANCTIONS,SANCTIONS,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.313655,"crime, law and justice",0.2925432,0.021111786,4,17.597092,45.054337
